 ,institution,provider,Invisibility,2019_contract_content,2022_contract_content,"keywords (course[development, content, material, instruction], revenue share, academic support, recruitment, marketing, software, tutoring etc.)",price_per_year,revenue_share,programs_courses,Courses
40,Montgomery County Community College,Ed2Go,1,"Ed2Go provides online courses and career training programs to the school including course materials, course instructors, course hosting and course evaluation. Ed2Go also provides marketing materials and assistance. ",,course material | course content | course instruction | course development | marketing,,,,
44,Ohio University,Pearson/ EmbanetCompass,1,"""The company will develop and create the online component of all e-learning program courses including instuctional design, multimedia development, course uploadingm and course/program hosting"" (p.111) but other places it is mentioned that the university is responsible for curriculum, content and faculty and staff (p.129) while the company is responsible for marketing, recruitment and management and student retention matters (p. 132-133 and p. 107-108) --> so the company's tasks are also dependent on the specific program. ",,,,50%-85%,"Master of Athletic Administration, Master of Business Administration, Master of Coaching Education, Master of Engineering Management, Master of Financial Economics, Master of Health Administration, Master of Public Administration, Master of Science in Civil Engineering, Master of Science in Electrical Engineering, Master of Science in Nursing Administrator, Master of Science in Nursing Educator, Master of Science Family Nurse Practitioner, Master of Social Work",
47,Purdue University,All Campus,0,"All campus provides marketing, student recruitment, retention services and operations management (p. 2). Purdue is responsible for curriculum development, instruction and online course development. ",,marketing | recruitment,,,all courses under the Purdue Lean Six Sigma and Project Management programs. ,
48,Purdue University,Kaplan,1,"Contract says that Kaplan will accellerate and expand higher education online offerings: basic services include marketing, recruitment, student support, curriculum development",,recruitment | marketing | course developemtn,Redacted,,,
49,Purdue University,The College Network,0,"""TCN will provide course development, course hosting, marketing, promotional and enrollment services for PURDUE online Lean Six Sigma courses and programs and PURDUE will provide Lean Six Sigma course and program content and instruction.",,revenue share | marketing | course development,,40% - 49% ,,"Lean Six Sigma Green Belt, Lean Sic Sigma Black Belt, Lean Advanced Methods and Tools."
52,Southeastern Oklahoma State University,Ed2Go,0,,"course materials, online instructors, course hosting and evaluation. ",course material | course instruction,,,,
53,Southeastern Oklahoma State University,Academic Partnerships,0,,"AP assists Southeastern Oklahoma State University in online program development, design and implementation. AP also provides several marketing, recruitment and promotion services including enrollment specialist representatives and application support for potential students. The partnership has 13 courses planned for the fall of 2023.",,,,,
54,Southern Illinois University Carbondale,Ed2Go,1,"Ed2Go develops, designs, produces and distributes online courses and deliver instruction. The school offer courses produced by Ed2Go to their students, trainees, members and employees.",,course development | course content | cource material | course instruction,,,,
55,SUNY Binghamton,Academic partnerships,1,"AP helps the SUNY Birminghampton provide online courses, degree programs and other programs. AP is responsible for for marketing, recruitment and promotion of the programs, program development, academic support to university staff in program-level planning, course mapping and course concersion into online electronic format. ",,marketing | recruitment | academic support | course development | revenue share,,50%,see p. 23,
64,University of California-San Diego,Trilogy,0,,"Trilogy is responsibile for marketing, generating enrollments, selecting instructors and providing course materials for coding bootcamps at University of California-San Diego. There is a revenue share agreement but the exact share is redacted. ",,,,,
66,University of California-Berkeley,2U,1,,"Master of Information and Data Science, Master of Information and Cybersecurity. U2 provides technological, marketing, promotional, development and support services. Also element of recruiting rejected students.",,,,,
70,University of Cincinnati,Academic Partnerships,0,"AP is responsible for sales and marketing, recruitment, and support for the University's staff in the development, implementation and transition of curriculum and courses into an online format. ",,marketing | recruiting | program development | academic support | revenue sharing,,40%,"MS in Tax, MS in Finance, MS in Accounting, MBA, Bachelors in Business Administration, MS or MEng in Mechanical Engineering, MS or MEng in Electrical Engineering, MS or MEng in Civil Engineering, MS or MEng in Environmental Engineering",
71,University of Cincinnati,Pearson/ EmbanetCompass,1,Pearson and University of Cincinnati are mutually responsible for the development and delivery of course content but the control of academic curricular and content is a UC decision. UC is also responsible for the academic instruction. Pearson help the course instructors in developing course content suitable for E-learning and marketing of the programs,,marketing | program development | academic support,,,"MS in Nursing, Degree Program in Nurse-Midwifery, Degree Program in Women's Health, BS in Health Information Management, BS in Clinical Laboratory Science, ME in Education Administration, MS in Criminal Justice",
73,University of Connecticut,Alivetek,0,This contract explains that Alivetek is responsible for providing the course materials for University of Connecticut's diversity and anti-hazing coursework ,,program development | course material | course instruction,Approximately $14000 with additional fees for high numbers of students,,,
74,University of Connecticut,EverFi,1,Contract explains that EverFi runs an alcohol safety course for university students,,program development | course material | course instruction,45000 for 3 years,,,
76,University of Florida,All Campus,0,"All Campus offers marketing, recruitment and retention services to the University of Florida while the University is responsible for curriculum and course content, falculty and staff and the necessary technology for distance courses.",,revenue share | marketing | recruitment,,"38,5%","Master of Science in Family, Youth and Community Sciences, Master in Sports Management, Masters of Additions and Recovery, Master of Music Education",
77,University of Florida,Apollidon,1,"The company is responsible for marketing, student recruitment, student retention and support the faculty in course development. The company may provide instructional design, technology and multimedia services but the University is responsible for curriculum and course content, appointment of faculty and staff, admission and technology (learning management system)",,marketing | recruitment | academic support | course development,,37%-40%,"Online Graduate Certificate in Aging & Geriatric Practice, Online Graduate Certificate in Medical Physiology - Cardiovascular/Renal Physiology and Pathophysiology, Online Microbiology Masters Degree, Online Master of Science in Pharmacy in Medication Therapy Management, Online Master of Science in Pharmacy in Pharmaceutical Outcomes and Policy, MS in Veterinary Forensic Science, Online Program in Shelter Medicine, BS in Microbiology and Cell Science, MS in Forensic Science, MS in Forensic DNA & Serology, MS in Forensic Toxiology, MS in Forensic Drug Chemistry, PSM in Forensic Science, Certificate in Forensic Death Investigation, Certificate in Forensic DNA & Serology, Certificate in Forensic Toxilogy, Certificate in Forensic Drug Chemistry, Certificate in Verinary Forensic Sciences, MS and PMS in Pharmaceutical Chemistry, MS in Clinical Toxicology, Certificate in Clinical Toxicology","Under the Forensic Science program: Crime Scene Processing, Cruelty to Animals and Interpersonal Violence, Advanced Principles of Forensic Entomology, Scientific and Legal Principles of Evidence, Veterinary Forensic Pathology, Independent Research Practicum."
82,University of Illinois,Pearson/ EmbanetCompass,1,,"Support of online educational programs (Department of Applied Health Sciences). OPM is responsible for market research and assessment, marketing services, recruitment services and student support services, while the school is responsible for course content and curriculum, instruction and admission. Pearson gets access to a universal URL associated with the University's web URL + email domain.",marketing | recruitment | course instruction,,,,
85,University of Kansas,Everspring,1,"Everspring will provide marketing services, consult and provide support to enable the conversion of existing courses into an online format, and student support. ""Institution shall deliver the Course Content for all course in the program [...] to support Everspring commencing instructional design and productions"" (p. 47, 49, 51) ",,marketing | course content,Redacted,Redacted,"Graduate preparation in High-Incidence Disabilities, Endorsement in High-Incidence Disabilities, Online Master's program in Transition Education and Services, Certificate in Autism Spectrum Disorders,  Early Childhood Unified Education, Certificate in Admin/Director Special Education, Curriculum and Instruction (General), Curriculum and Instruction (Reading), Endorcement in Reading, Curriculum and Instruction (ESOL), Endorsement in ESOL, Curriculum and Instruction (Mathematics & Science), Educational Leadership, Interdisciplinary Studies, ",
88,University of Michigan,Noodle Partners,1,Contract explains that Noodle Partners will assist the university in program development as well as with recruitment and marketing efforts,,course development | recruitment | marketing,"Up to $23,714,785 by year 7 of contract under the ""tuition"" clause. Contract says that cumulative net income by year 7 is 
$45,473,665",,,
92,University of Nebraska,iDesignEDU,0,"iDesign shall provide help the University faculty design, develop and produce course.",,course development,,,,
97,University of North Carolina at Chapel Hill,2U,1,,"Goal to launch at least 10 full-service digital graduate degree programs (p.22). 2U might provide bootcamps and course materials to those bootcamps (p.4), but is also hired to help the university bolster its in-house capacity for offering digital educational services and programs (p.10). 2U provides marketing, recruitment, admissions collection, guidance in curriculum design and program management (although the school is responsible for this) and a course platform. Bootcamps: 2U is responsible for generating enrollments, marketing (2U's role myst be acknowledge in the marketing), select and hire instructures, tech support  ",marketing I software I recruitment,"Per-credit fee ($23,84)",,,
98,University of North Carolina Wilmington,Academic Partnerships,1,"recruitment, curriculum suport, curriculum development, ""student support"" reaches out to students",,recruitment | course development,,50-55%,,
99,University of North Dakota,Career Step,0,provides certificate and supplemental programming,,course content | revenue share,,18-22%,,
100,University of North Dakota,Institute for Graduate Studies,0,,"""IGS submits quality professional development for review by the OEL""",,,,,
101,University of North Dakota,Taxila Education Group Limited,0,,"Collaboration to ""deliver online courses to teachers for graduate professional development credit (2900-level). The school will provide students with credits if they complete a TEGL course. TEGL determines the content, subject matter and materials for the course and facilitates and grades coursework. ",course content I course instruction I course materials I marketing I revenue share,,75%,,
103,University of North Dakota,The Learning Factory LLC,0,,"Collaboration to ""deliver online courses to teachers for graduate professional development credit (2900-level). The Learning Factory will provide needed instructors and materials, is responsible for course contet, production, customer service, training and payment of instructors + marketing",course instruction I course materials I course content I marketing I revenue share,,72%,,
104,University of North Dakota,Public Consulting Group,1,,"Collaboration to ""deliver online courses to teachers for graduate professional development credit (2900-level) - LOOKS PRETTY SHADY",course content I course materials I course instruction I marketing I revenue share,,70-85%,,
120,University of Texas,Alivetek,0,"course design in collaboration with institutionand content creation, also graphics",,course content | marketing,between $85-150/hr,,,
128,University of Washington,Noodle Partners,0,Create supervise and manage academic programs ,,course instruction I course materials I course content I,"Base fee of 22k a month, additional cumulative fees per credit hr",,,
129,University of West Florida,The Learning House,0,,"""THL shall launch the online programs to commencer..."": 5 bachelors programs and 14 masters programs in 2019",revenue share,,30-38%,,
130,University of West Florida,Academic Partnerships,0,,"AP's obligations include marketing and promotion, program development, support and implementation, academic support services, enrollment specialists to contact potential students, application support, student support services. In the fall of 2022, only an MBA in Finance.",marketing I academic support I revenue share,,45%,,
134,Victoria College,The Center for Legal Studies,0,,"live online independent study courses. CLS provides curriculum and instructors for the courses, administration of the courses",course content I course instruction I course development I revenue share I marketing,,80%,,
135,Victoria College,Cengage Learning Inc.,0,,"facilitates sales of online courses, designs and posts marketing materials. Contract contains weird language like ""as a cengage learning affiliate partner, you are not offering or providing the licensing education. You are referring potential students to Cengage Learning's approved licensing school. It looks like the school is referring the students to cengage's courses on another platform",,,70% (?????),,
140,West Virginia University,Coursera,1,This contract explains the Coursera hosts multi-media courses and has to approve of materials.,,course instruction | course content | course development,,50%,,
143,Youngstown State University,Academic Partnerships,1,"This contract explains the Academic Partnerships is responsible for marketing, recruiting, *enrollment specialists*, program development, academic support services, and assisting students with application process/requirements",,recruiting | course development | marketing,,redacted,MS ed and MSN nursing,
144,University of Texas at Austin,Pearson,1,,"Four online courses. Pearson provides commercial content course development (instructional designers, content development editors, and learning designers), a web-based support system, project management and market research. Pearson has the right to approve the final manuscript for each course. ",course development I software,,84%,,
146,University of Rhode Island,Academic Partnerships,1,,"AP's obligations include marketing, program development, support and implementation, curriculum support, recruitment and enrollment assistance, application support, student support services (p. 2-5). AP also get access to the school's branding and styile guidelines, web domain and alumni email lists.",marketing I recruitment I revenue share I course development,,50%,,
149,Michigan State University,All Campus,1,"marketing and ""retention services"" which is defined as orientation prep work and contacting students about setting up accounts once admitted ",,marketing |,,,,
